text,tags
"На нынешний момент это лучший консилер из всех, что я перепробовала. Не скатывается, отлично перекрывает круги и синяки под глазами, консистенция не густая, расход небольшой. Очень довольна покупкой
Консилер супер 
Очень хорошая
Текстура лёгкая, для меня чуть желтоват, не нужно перебарщивать. Средняя плотность, пользуюсь с удовольствием.
Лучший консилер, для меня подходит и цвет, и текстура. Использую под глаза и крылья носа. 
Любимый консилер.  Не скатывается.  Не сушит.  Хороший консилер.  Хорошо маскирует. 
Взяла по совету подруги, не сушит, не сильно плотный, но недостатки перекрывает,  очень естественно смотрится 
Классный, незаметен на коже
","[""Освежает лицо"", ""Легкий аромат"", ""Не сушит""]"
"Хорошая краска. Давно пользуюсь.
Отличная краска, всегда ей пользуюсь!!!
Тон в тон .  Удобное нанесение. Цена хорошая .
Эту краску пользую 10 лет, 
седины стало больше, 
краска стала дороже, 
волос меньше 
Питер стоит, Нева течет
Хорошая краска
","[""Удобный"", ""Отличное качество""]"
"Выкупила 8 . 12 , очень красивый , благородный цвет. Получилось как на фото на коробочке. Рекомендую к покупке! Во время окрашивания не пекло и не жгло. Кожа головы не сожглась, волосы напитаные и не жженые.
Отличная краска, беру на постоянной основе
Все хорошо 
Проверила содержимое коробки, тюбик с проявителем оказался вскрытым. Вернуть невозможно, пользоваться не рискну. При том, что Экспресс-кондиционер Л'Ореаль не оправдал ожиданий, не выполняя своих функций, ставлю под сомнение подлинность доставленной мне косметики.
Надеюсь, не подделка! Оригинал отвечает всем требованиям окраски волос. 
Краска хорошая, жаль только, что вместо бальзама перед окрашиванием для кончиков теперь шампунь после окрашивания. Шампунь есть и у меня. 
Что касается оттенка, то это скорее 8.13, чем 8.12, то есть присутствует золотистость. Цвет получился темнее и другого оттенка, чем у модели на коробке и чем варианты, показанные в таблице.
Пока не красилась, боюсь, потому что флакончик с проявителем оказался открытым, или теперь их не закрывают герметично? Раньше для того, чтобы открыть, нужно было приложить усилия, а сейчас он открылся так, как будто его кто-то уже открывал.
Цвет полностью вымывается за месяц. Практически полностью за две недели. Голову мыла два раза в неделю.
Много раз красилась этой краской раньше, очень нравилось удобное нанесение и бальзам, который наносится на кончики перед окрашиванием. Надеюсь, качество L'oreal не изменилось. Спасибо!
Видимо все в порядке.
","[""Удобный"", ""Не сушит""]"
"Хорошее качество
Очень понравилась. Мягко и ровно ложится. Красивый блеск. Приятный привкус
Красиво ложится, хорошо держится
Помада понравилась, ложится хорошо только цвет немного не совпадает с заявленным. Оказался темнее. В целом помада хорошая
К сожалению, помада не подошла. Щиплет на коже губ. 
","[""Мягко очищает"", ""Легкий аромат"", ""Отличное качество""]"
" Мне очень нравится этот блеск, постоянно им пользуюсь! Спасибо !❤️
Действительно, оранжевый. Было разочарование. Но подобрала карандаш. И теперь это мой ежедневный блеск для губ
Блеск хороший
Блеск отличный , мерцает
Отличный блеск, приятный на губах.
Цвет красивый, но слишком липкая консистенция 
Хороший продукт
","[""Освежает лицо""]"
"Прекрасное качество
Очень нравится , пользуюсь много лет 
Покупаю не первый раз, отлично, и качество и цвет
Супер красивый блеск
Качество , красивый цвет
Отличный блеск!  Покупаю не первый раз
Хорошая. По скидке просто отличная. 
Беру всегда серию этих блесков. Цена качество. Не липкие
Качественный блеск, рекомендую к покупке 
Хороший блеск, покупаю ни в первый раз.
Ну так себе. Много блестящих крупиц... в общем не буду больше брать такой. Эффект советских губ. Так и лежит где-то, потерялся в сумочке за ненадобностью.
Полосит и не держится 
Красиво смотрится на губах.  Не очень удобно  пользоваться(для меня). Предпочитаю классику.
","[""Удобный"", ""Отличное качество"", ""Не стягивает кожу""]"
"Хорошо пентися и увлажняет.
Аромат очень нравится, но объем небольшой и дорого
Для диких фанатов запаха лаванды - в самое сердечко!  Настоящая ароматерапия и релакс во время душа) Вот только на коже аромат не задерживается, но это и не парфюм. 
Настоящий запах лаванды 
Не пользовалась, поэтому сложно сказать об ощущениях. Взяла на подарок. Выглядит как и на карточке товара. По запаху вполне приятно- лаванда, как и заявлено! 
Аромат супер 
Шикарный гель для душа, а запах 
Аромат просто нечто , советую к приобретению ☺️
Хорошо пахнет лавандой, успокаивает перед сном.
Божественный аромат 
Это второй мой лавандовый гель, очень успокаивающий аромат. Не сушит кожу. В сочетании с лавандовым молочком для тела еще лучше 
Все прекрасно
Идеальный❤️
Не первый раз беру довольна,не сушит кожу.
Шикарный! Аромат очень приятный, не навязчивый! Рекомендую к покупке)) 
Приятный, ненавязчивый натуральный аромат 
Гель отличный.
Хороший ) как и все этого бренда 
Запах лаванды.
Понравился.
Любимый гель 
Отлично увлажняет. Прекрасный аромат. Осень экономичный. 
Отличный гель, запах восхитительный!
Гель хорошего бренда. Взяла в подарок. Надеюсь понравится 
Выбирала по отзывам, и вправду очень вкусно пахнет лавандой, со временем выветривается, но комната после ванны очень вкусно пахнет. Приобрету ещё раз, рекомендую 
моя любимый производитель косметики и ухода
Один из любимых гелей для душа)
Люблю локситан, но этот запах для любителей лаванды, очень интенсивный.
Аромат !! 
Запах лаванды очень нежный, даже с легкой сливочной ноткой. Но он настолько легкий, что едва уловимый, пока мылишь плечи чувствуешь, а ниже пояса - уже нет. На коже запаха вообще не остается, в ванной никакого аромата не стоит. Для любителей ну очень легких и незаметных запахов.(у меня проблем с обонянием нет)
Приятный аромат
Один из любимых
Невероятный аромат лаванды, шикарный гель для душа
Мне запах не очень понравился, обычный гель. 
Гель отличный! Расход небольшой. Хорошо пенится
Срок годности до 2027 года. Нежный холодный аромат лаванды, не сушит. Отлично освежает.
Лосцитан ❤️
Хорошо увлажняет, пенится, натуральный аромат лаванды.
Отличный гель для душа !
Запах лаванды приятный.
Как всегда супер 
","[""Легкий аромат"", ""Увлажняет надолго"", ""Хорошо пенится"", ""Не стягивает кожу""]"
"Любимая маска . Прекрасно увлажняет 
Моя самая любимая маска ❤️❤️❤️
Брал не себе. Сказали хорошая.
Покупаю не в первый раз, очень нравится эффект!
Маска оказалась рабочей, кожа выглядит отлично после неё. Буду пользоваться.
Отличная маска. Эффект на лицо. После первой - никаких изменений, после третьей подряд - супер
очень хорошая маска,очень понравилась ее текстура,как самой эссенции так и маски,шелковистая 
очень качественно 
Очень хорошая маска, идеальное увлажнение, нет липкости, оставляю остатки состава на лице, после того, как убираю маску - утром кожа просто бархатная.
Понравилась. Буду заказывать ещё.
Хорошая маска не оставляет липкости
Очень много состава, увлажняет хорошо, необходимо регулярное использование
Моя любимая!!!
Не первый раз беру. Мне нравятся
Хорошо увлажняет кожу , но какого-то ""вау"" эффекта явно от одной ждать не стоит) 
Хорошие макаки 
Отличные маски. Приятный запах и расслабляющий эффект.
Моя любимая маска)))
Очень хорошая маска.
Хорошо увлажняет.
Использовала продукт пока один раз, прошло несколько дней, кожа остаётся хорошо увлажнённой. У меня смешанный тип кожи, без должного увлажнения не т-зона быстро теряет влагу. Думаю, буду использовать этот продукт и далее. Об повышении упругости пока говорить рано, нужно более длительное использование.
Маска неплохая
Отличные! Тонкие, удобные, недорогие. Есть эффект 
Ничего не дала
Маска супер-коже
 придает молодость

Всё отлично  
Хорошая маска, поторила. Замечательно увляжняет, удобная.
Комфортная. Понравилась
Отличная косметика, работает!!
Понравилась, хорошо увлажняет. Выкуп.
Хорошая маска...результат  будет  виден позже
Хорошо увлажняет, мне понравилась. 
Мне нравится
Брался на подарок, все пришло целое 
Хорошая маска
Отличная рабочая маска
Неплохая маска
Обожаю этот бренк, беру ампулы обычно, маска тоже топ  
Хорошая мамочка
Не поняла 
Как и сыворотка зеленая, эта маска прекрасна!
Эфекктивная
Маска плотная, действительно увлажняет 
Хорошая маска
Маска понравилась 
Увлажняет, как и заявлено, большего от этой маски я и не жду 
Крутая!!!!
","[""Для чувствительной кожи"", ""Легкий аромат"", ""Увлажняет надолго"", ""Высокая плотность""]"
"Сыворотка просто шикарная!Работает! 
Классные ампулы , у меня сухая кожа- хорошо увлажняет , блеска правда я не заметила , как заявлено . Беру уже во второй раз 
Использовала полностью, зимой. Не скажу, что результат потрясающий, но и не бесполезно. Жирновата, не понравился запах. Спасибо, что не вызывает аллергию. 
Все супер) но пришел без штучки для вскрытия ампулместо под нее в коробке было пустым. 
Мне очень понравились 
Отлично увлажняют 
Неплохой, увлажняет.
Лучшая в линейке
Лучшие! Спасибо, Ламода! 
Отличная сыворотка, очень хорошо увлажняет 
Странное средство, непонятный эффект после применения, кожа покраснела и началось раздражение.
Просто супер! Рекомендую, отличная сыворотка
Мой фаворит!
Использую постоянно)) кайфую
Отлично увлажняют, масляная текстура, но быстро впитывается, не оставляя блеска. Беру вторую зиму. Нравится!
Результат на чувствительной коже 39 лет хороший , никаких неожиданных реакций . Я после 5 ампул начала шелушиться , что тоже было запланировано . Колпачок для открывания ампул у меня был не рабочий . Буду пробовать другие ампулы , здесь мне не понравился запах . Ну и вот этого глянца и сияния со мной не случилось .   
Увлажнение хорошее.
Покупаю второй раз , приятная текстура и лицо правда преображается как то 
Мне не подошло. На 3 ампуле сильно обсыпало всё! Лицо, шею, декольте. Вообще, косметолог сказала, что в составе витамин С и может обсыпать. Так и вышло.
Отличный лонгслив, плотный, приятный к телу. Декоративное украшение очень деликатное.  Сильно большемерит, поэтому на 50 р-р подошел 46/48. Ну и длинные рукава на невысокий рост, но это не проблема
еще не пользовалась. добавлю позже.
Успела только половину первой ампулы использовать, на утро кожа увлажненная,дальше буду пробовать
","[""Подсушивает"", ""Для сухих волос"", ""Увлажняет надолго"", ""Быстро расходуется""]"
"Хорошая паста , беру пару лет, советовал стоматолог с тандеме с щетками другой известной фирмы, отличный результат 
По приятной цене. Нравится этот бренд 
Любимая паста дочки 
Рекомендую эту пасту в качестве первой зубной пасты для вашего малыша. Хороший состав, приятный ненавязчивый вкус, безопасна при проглатывании, достаточный выбор вкусов в линейке, так же есть нейтральный.
Эту пасту посоветовал детский стоматолог. Маленькая, вкусненькая, по завышенной цене 
Лучшая паста 
По рекомендации доктора 
Хорошая паста, хорошо очищает зубы
","[""Легкий аромат"", ""Деликатно очищает"", ""Нежный""]"
"Любимые подгузы))
Хорошие памперсы всегда заказываем 
Классные подгузники 
Лучшие подгузники 
Самые лучшие подгузники
Самые лучшие 
Любимые подгузники 
Напрягла упаковка. Такое лучше упаковывать дополнительно, тк были повреждения и очень грязная пачка. Детский товар все же 
Хорошие очень 
","[""Отличное качество""]"
"Рекомендую, лучше подгузников не нашли 
Самые любимые наши подгузники. Не пользуемся кремами и присыпками благодаря им. 10/10.
Подгузники - трусики offspring наши любимчики. Вовремя успели заказать. Ждём наличие размера L.
Любимые подгузы. Лучшие 
Пользуемся только этими подгузами
Лучшие подгузники 
Рекомендую
Любимая фирма подгузов и трусиков, пользуемся только ими 
От них нет ни раздражения ни опрелостей
Размер S часто протекал, но ни М ни L пока ни разу не подвели, хотя последние нам немного большеваты. Ночь держат хорошо
Отличные подгузники, мягкие и красивые
","[""Удобный"", ""Не стягивает кожу"", ""Для ночного ухода"", ""Нежный""]"
"Любимая фирма берём не первый раз все нравится
Хорошие щетки 
Всей семьей чистим только ими
Прислали с синей щетиной, а так наша любимая щетка
Отличная детка, не жесткая, но и чистит отлично 
Удобная малышка 
Отличные зубные щетки, беру 2 раз, ребенку нравится, мягкие и отлично вычищают налет 
Любимая щетка дочери
Отличная щетка!
По совету стоматолога покупаем только эти щетки
Ничего особенного в этой щетке нет. С брекетами вообще ничего не вычещает
","[""Удобный"", ""Деликатно очищает"", ""Нежный""]"
"Отличные подгузники, покупали их и с первым ребенком, и со вторым. Не протекают, изнутри всегда сухие, ночь выдерживают идеально. 
Хорошие,жалко доставки пока нет в наш регион
Отличные трусики-подгузники, удобные, мягкие, со своей задачей справляются отлично и в день, и с ночь!
Размер и качество отлично 
Как всегда качество на высоте
отличный товар! 
","[""Удобный"", ""Не стягивает кожу"", ""Для сухих волос"", ""Нежный""]"
"Качественная щетка
Хорошая щётка 
Отличная щётка, рекомендую.
Хорошая щетка 
Любимые щетки сына
Любимая щетка. Рада, что можно заказать на Ламоде
Лучшие щетки, пользуемся давно, регулярно обновляем
Хорошая щетка
Хорошие щётки, покупаю не первый раз
Отличная щетка, советую.
Очень понравилось 
Отличная зубная щетка, всегда покупаю для детей. К покупке рекомендую.
Отличная щетка 
Хорошая удобная щетка. Приобрела по рекомендации стоматолога
Любимая зубная щетка ребёнка 
Хорошая щётка 
Лучшие щетки!
Любимые щетки для всей семьи. Ребёнок доволен, выбрали по возрасту
Лучшая щетка
Все отлично
Отличная щетка! 
Щетка отличная! Берем не в первый раз, все нравится.
Наконец-то я нашла хорошую щетку для ребенка , при чистке зубов не капризничает 
","[""Удобный"", ""Отличное качество""]"
"Отличные щётки
Хорошая очищает налет на ура
Удобная, хорошего качества, а главное, правильная зубная щётка. 
Прекрасные щетки
Постоянная покупка. Дочь чистит только ей 
Отличная щетка!
Отличная щётка, рекомендую.
Идеальные, любимые щетки
Чистит шикарно, после нескольких нажатий желтый налет с унитаза уходит даже без специальных средств. Минус, что маловата! Почему производитель такие маленькие сделал!? За раз использовали 2 штуки.
Отличные щетки для детей 
Лучшая щётка.
Покупаю ребенку, нравятся цвета и мягкость, покупать стали по рекомендации стоматолога и ортодонта. 
Отличная щетка 
Обожаем щетки курапрокс всей семьей
","[""Удобный"", ""Отличное качество"", ""Деликатно очищает"", ""Нежный""]"
"Говорят лучшие подгузники) будем тестить)
Только их сейчас и берем, лучшие из предложенных на рынке, но дорогие 
Не протекают
Не протекают 
Быстро преет попчик. Заменили на другие 
","[""Подсушивает"", ""Не стягивает кожу""]"
"Сильный ароматизатор 
Отличная зубная паста. Рекомендую
Хорошая паста 
Добрый вечер.  Хорошая паста.
Качество, приятный вкус
Любимая паста сына)) зубы чистит с удовольствием!
Одна из лучших среди детских зубных паст 
Только начали пользоваться 
Хорошая паста испытывал на себе , вкусная 
Любимая паста ребенка
Паста супер. Вкус приятный, как печенька
Отличная зубная паста 
Супер трвар
Хорошая паста, дочь с удовольствием чистит зубки
","[""Легкий аромат""]"
"Детям нравится, индикатор хорошо показывает не дочищенные места
Сложно было начать пользоваться: ребёнка отталкивал яркий синий цвет и возможность окрашивания кожи (читали вслух инструкцию все вместе). Но после некоторого времени сын втянулся, чистить зубы стало интересно.
Не разобрались в чем прикол этой пасты. 
По рекомендации стоматолога перешли на этот бренд. Паста-маркер тоже понравилась. Можно своей функцией справляется.
Со своей задачей справляется. Чтобы показать ребенку наглядно налет и как вычистить - норм. Цена, как по мне, завышена.
Отличная паста , куплена по совету стоматолога . 
","[""Даёт объём""]"
"Хорошая фирма. 
Не особо пользуюсь оказалась бесполезной
Очень вкусный запах, но еще не пробовала
Малыш обожает, когда ему обтираю лицо этой водичкой. Очень приятный запах, хорошо очищает.
Отличный товар
","[""Легкий аромат"", ""Деликатно очищает""]"
"Пришло со сломанным дозатором
Хорошее масло,второй флакон беру уже 
Прекрасный, приятно пахнет
Офигенное 
Пришел целый 
Отличное качество, для атопичного ребенка идеально подходит
Дочь мою только этой фирмой, попробовала эту серию , без отдушек. Маслянистая консистенция
Хорошее средство 
Покупаю на постоянной основе
Хорошо увлажняет и пенится
Без запаха

Не сушит. Приятно пахнет. 
","[""Отличное качество"", ""Для чувствительной кожи"", ""Увлажняет надолго"", ""Хорошо пенится""]"
"С самого рождения пользуемся этой пенкой, вот уже 3 года не изменяем детской линейке zeitun. Легкая приятная отдушка.  
Отличный гель для детей, пенится и никаких раздражений
Хорошая пенка, приятный запах.
Сама пенка хорошая, но заедает дозатор в нижнем положении. 
Хорошая мягкая пенка, аллергических реакций не вызвала!
Брала на подарок, надеюсь понравится.
Пенка хорошая, понравилась
Уже третью берём ! Супер !
Хорошо пенится. И хватает на долго. 
Хороший гель для купания.
Ну нормальный гель 
Очень нежная пенка, не вызывает аллергию. И хватает надолго.
Не правильная информация на сайте . На изделии написано пенка для интимной гигиены . Пишите пожалуйста то что указано на изделии !!!
Хороший гель для купания
Классный запах 
Отличная пенка, беру уже второй раз! 
Нежная пенка. Для новорожденного запах по мне очень резкий, оставила старшему и себе 
хорошая пена, приятный аромат
","[""Увлажняет надолго"", ""Легкий аромат"", ""Хорошо пенится"", ""Нежный""]"
"Действительно классный шампунь. Многие писали, что в итоге вся семья пользуется. Так вышло и у нас. Отлично пенится, маленький расход, приятный запах, хорошо промывает волосы.
Понравился шампунь убрал зуд ребенку
Хороший шампунь 
Шикарный шампунь и запах 
Вкусно пахнет, красивая банка и хороший объем. НО у ребенка сразу зачесалась голова. Это очевидный  показатель «хорошего состава». Как будто купил шампунь в супермаркете. За такие деньги от Ладор неожиданно получить такой товар. 
Самый обычный шампунь. Прямые волосы у ребенка сильно пушатся после мытья.
Волосы после мытья мягкие, запах приятный 
Хорошо пенится. Приятный аромат. Использую для мальчика и девочки 3  и 6 лет
Очень хороший шампунь волосы после него шелковистые
Отличный шампунь. После него корни жуть дольше обычно сохраняют свежий вид.
","[""Для сухих волос"", ""Легкий аромат"", ""Хорошо пенится"", ""Увлажняет надолго""]"
"Очень плотный и белесый, плохо смывается, но защищает хорошо 
Хороший, именно такой рекомендовал педиатр для совсем малышей 
Даже при небольшом нанесении чувствуется эффект, ребенок однозначно не такой красный, в сравнении если бы был вообще без крема. Наносить лучше похлопывающими движениями,а не размазывать. Так меньше белых следов на теле остаётся. 
Хороший крем. Оставляет белый след, защита хорошая 
Справляется со своей задачей на все 100! 
Добрый день! Не первый раз берем косметику этого бренда, всем остались довольны!
Хороший крем 
Хороший крем. Нет белого цвета на коже от него. 
Хорошая защита от солнца. Хороший расход. Но средство впитывается не сразу. Видно на коже. 
Отличный крем. Приятная текстура, не жирнит кожу, хорошо защищает от солнца
","[""Удобный"", ""Быстро расходуется"", ""Не стягивает кожу""]"
"Хорошо промывает кожу, прям до скрипа и не сушит , хорошо пенится 
Хорошее мыло советую
Для меня запах интенсивный 
Хорошее мыло советую
Классное. 
Любимое мыло, кожа после него в прямом смысле скрипит
Удобно брать с собой , есть запах , не каждому подойдет 
Очень любим данную фирму и постоянно ей пользуемся , ребенок с атопической кожей 
","[""Для чувствительной кожи"", ""Хорошо пенится"", ""Деликатно очищает"", ""Не сушит""]"
"Огромная бутыль детского шампуня с ароматом ягодных мармеладок. Упакована в красивую коробку и запаяна плёнкой 
Хороший шампунь
Мне понравилось средство (использую только как шампунь). Пахнет зелёным яблоком, аромат не химозный. Глазки ребёнку (5 лет) не щиплет. Пенится неплохо. Расход экономный. Купила за 594 рублей
Брала на подарок
Дети быстро скончали шампунь, даже не поняла, но кажется пенится плохо(
Шампунь понравился.
Приятный запах
Без запаха. Волосы мягкие. Ребёнок рад
Приятный запах, хорошо пенится. НО . У ребенка стал очень жесткий волос, буквально не получалось расчесать после мытья им. 
Приятный запах и красивая упаковка. 
Приятно пахнет. Сыну понравилось. Рекомендую
Отличное качество, использую регулярно 
Приятный аромат, ребёнку глаза не щипет. Красивая упаковка
Дизайн хороший , но особо эффекта нет 
Упаковка класс
Никакущий шампунь. Не пенится, ощущения чистоты после него нет. 
Не плохой шампунь.
Большой расход 
Запах как пропал
","[""Освежает лицо"", ""Быстро расходуется"", ""Легкий аромат"", ""Хорошо пенится"", ""Не сушит""]"
"Брала в подарок
Отличная пена,беру второй раз, ребёнок  доволен.
Отличная пена, ребенок играет с удовольствием, еще и приятная скидка
На раз нормально. 
Ребенку очень нравиться 
Интересная пена для игр в ванной 
Покупаю второй раз 
Можно лепить снежки, вода приобретает голубой  оттенок. Радуемся все
Заявлено что пена для купания,но пенится совсем плохо.Больше не куплю
","[""Отличное качество"", ""Слабое отшелушивание""]"
"Покупаем всегда 
Все отлично 
Щётка отличная. Ребенку 7 лет подошла по жёсткости и размеру.
Эта фирма лучшая, беру и пасту этой же фирмы 
Детям понравилась
 мне нравится
Детям щетки понравились, чистят зубы с удовольствием. 
","[""Даёт объём""]"
"Ставлю низкую оценку за ужасный распылитель. Бьет струей.
Чтобы выйти из ситуации, не выбрасывая, нужно сначала нанести на ладони, потом на волосы
Ставлю низкую оценку за ужасный распылитель. Чтобы не выбрасывать спрей, выход из ситуации-нанести на ладони, потом на волосы, что очень не удобно.
Волосы после кондиционера мягкие и блестящие 
Не плохой.
Для детей просто очень хорошо 
Немного средства наношу и со своей функцией справляется.
Запах приятный.
Любимый спрей 
Понравился эффект после использования . Но неудобный для меня распылитель.
Отличная продукция, проверенного бренда 
Запах классный
Написано детское , но я купила для себя)) волосам нравится 
","[""Выраженный эффект"", ""Легкий аромат"", ""Для сухих волос""]"
"Внучка в восторге 
Хорошо пахнет и облегчает расчесывание
Приятно пахнет.
Запах огонь  после спрея волосы хорошо расчёсываются 

Хороший спрей, нежный аромат, мелкое распыление и с ним действительно лучше расчесываются волнистые волосы дочки. 
приятный запах 
Приятный запах. Волосы после спрея намного легче расчесываются. 
На подарок племяннице
Очень вкусно пахнет
Волосы перестали путаться, благодаря этому спрею
Взяли в подарок на др подружке 
Спрей классный, распыляется очень хорошо, волосы не становятся от него мокрыми, калтуны распутываются отлично, приятный запах
Легкий, приятно пахнет
Спрей для волос замечательный!!! Красивый дизайн. Приятный аромат. Пришел в целости и сохранности. Спасибо продавцу! Доставка быстрая.
Вкусный запах и легкое рассасывание 
Хороший спрей, маленький расход 
Не понравился аромат
","[""Мягко очищает"", ""Легкий аромат""]"
"Беру ребёнку.
Пенка хорошая, но для меня слишком интенсивный запах.
Мне не понравилось, после нее у ребенка пошли проблемы. Но это может быть совпадение конечно, но самое главное мне не удобно пользоваться (
Пахнет так себе 
Отличный вариант для девочки - нежная приятная пека,  красивый флакон, никаких аллергических реакций и раздражений.
Пошла аллергия и высыпания. Ребёнку 1.3
ребенку трудно нажимать на такой большой дозатор, запах неприятный
","[""Нежный""]"
"Отличный набор! Доченьке понравился,и главное ,что средства отличные! 

Хороший запах 
Отличные наборы. Брала на подарки. 
Хорошая красивая упаковка,приятные шампунь и спрей.
Нормально 
","[""Легкий аромат"", ""Отличное качество""]"
"Хорошо пахнет♥️
Ненавязчивый , вкусный запах . 

Не о чём, не держится совсем, так себе
аромат хороший, стойкий, по мотивам фаренгейт))
Не держится запах
","[""Легкий аромат""]"
"Понравилось 
Хороший набор , запах трав 
Брала в подарок!
Купили набор в качестве подарка 
Подарила мужу , Запах не понравился  совсем 
Набор хорошего качества 
Брала на подарок, очень понравился набор
Нормально, Главное органик! 
Покупала на подарок. Смотрится достойно. Рекомендую
","[""Отличное качество""]"
"Оч хорошее средство, удобно, пахнет приятно
Приятная текстура и запах
брак, пена не выходит, после нескольких нажатий и переворота флакона выливается жидкость, возврат по браку не оформили
Очищает не плохо, кожу не тянет, аромат не навязчивый приятный
Хорошая умывалка
Результатом удовлетворен!)
Приятная текстура и после ощущение свежести
Понравилось 
","[""Удобный"", ""Легкий аромат"", ""Деликатно очищает"", ""Не стягивает кожу""]"
"Брала на подарок к 23 февраля. 
Отличный набор. 
Хороший набор 
Все пришло в целой упаковке )
Достойный набор, для подарка самое то 
Хороший набор
Хорошо упакован, приятны запах, взяла 2 набора.
Отличное качество за эти деньги
Соотношение цена + качество отличное!
Всем доволен!
СПАСИБО!
Хорошо упакован, на подарок, думаю отлично.
Мужу понравился набор. Но он неприхотлив)
Косметика неплохая,всё понравилось,брала сыну,но к сожалению,он пользуется не регулярно.
Хорошее качество 
Приятный аромат.
Заказывала в подарок.
Хороший подарочный набор
","[""Легкий аромат"", ""Отличное качество""]"
"Прекрасный презент 
Классный набор!!! Для подарка замечательно!!!!
Покупали в подарок коллегам. Упаковка достойная, о качестве самого товара судить не могу
Хороший продукт 
Отличный набор
Больше не куплю,запах странный 

Цена качество 
Муж понравился 
Запах отдушек своеобразный, упаковка целая, возможно использовать на подарок, не самому близкому человеку.
Жидкие,плохо пенятся
Набор для поездки очень понравился спасибо 
","[""Слабое отшелушивание""]"
